frame,x_m,y_m,z_m
532.000000,9.477779,0.021900,0.384521
534.000000,9.475576,0.043634,0.391932
536.000000,9.490421,0.061488,0.388632
538.000000,9.501286,0.092708,0.356675
540.000000,9.520137,0.122251,0.375661
542.000000,9.534978,0.161956,0.379536
544.000000,9.543314,0.195671,0.373277
546.000000,9.572770,0.255733,0.366005
548.000000,9.566987,0.319799,0.412178
550.000000,9.584228,0.361825,0.417919
552.000000,9.601793,0.432715,0.423058
554.000000,9.618235,0.470654,0.387770
556.000000,9.635369,0.531081,0.402967
558.000000,9.658128,0.564186,0.377064
560.000000,9.690604,0.610745,0.350031
562.000000,9.740766,0.650473,0.340659
564.000000,9.759712,0.691664,0.337961
566.000000,9.781892,0.728990,0.362244
568.000000,9.796530,0.777266,0.370688
570.000000,9.798977,0.804467,0.339979
572.000000,9.787708,0.825716,0.299084
574.000000,9.805788,0.844383,0.271906
576.000000,9.801609,0.872490,0.238833
578.000000,9.818400,0.909310,0.224032
580.000000,9.796948,0.959576,0.209866
582.000000,9.855543,1.013692,0.262122
584.000000,9.834261,1.051834,0.234411
586.000000,9.869455,1.094504,0.252410
588.000000,9.821083,1.126182,0.247216
590.000000,9.795438,1.163016,0.187796
592.000000,9.798386,1.191375,0.169743
594.000000,9.823598,1.226772,0.166033
596.000000,9.850419,1.260296,0.170968
598.000000,9.873638,1.279414,0.146159
600.000000,9.928074,1.286272,0.108835
602.000000,9.923434,1.290353,0.024923
604.000000,9.911299,1.304279,-0.051508
606.000000,9.899342,1.308843,-0.111906
608.000000,9.884057,1.328123,-0.170019
610.000000,9.879631,1.349141,-0.235339
612.000000,9.851554,1.358496,-0.318128
614.000000,9.850429,1.363183,-0.366261
616.000000,9.850756,1.366775,-0.453047
618.000000,9.824130,1.372855,-0.519831
620.000000,9.805301,1.379988,-0.594495
622.000000,9.790856,1.381983,-0.674406
624.000000,9.771211,1.381753,-0.737804
626.000000,9.746678,1.379206,-0.788856
628.000000,9.716786,1.390330,-0.808998
630.000000,9.652035,1.405403,-0.843663
632.000000,9.630832,1.411345,-0.876977
634.000000,9.639123,1.414351,-0.910753
636.000000,9.656279,1.399970,-0.927455
638.000000,9.658993,1.397864,-0.942180
640.000000,9.659129,1.381812,-0.958541
642.000000,9.666584,1.360667,-0.963654
644.000000,9.659852,1.357942,-0.975202
646.000000,9.668991,1.360826,-0.978840
648.000000,9.693166,1.337144,-0.978020
650.000000,9.670628,1.347314,-0.990744
652.000000,9.688854,1.333924,-0.991418
654.000000,9.700160,1.315718,-0.998584
656.000000,9.708338,1.321631,-0.989657
658.000000,9.721501,1.299471,-0.993418
660.000000,9.720440,1.298294,-0.994542
662.000000,9.687284,1.311472,-1.007899
664.000000,9.702221,1.316964,-1.001921
666.000000,9.691346,1.316068,-1.000378
668.000000,9.696616,1.317339,-0.996217
670.000000,9.686345,1.305613,-0.990033
672.000000,9.711144,1.301414,-0.994240
674.000000,9.691082,1.304938,-1.002097
